Ethernet Type,Packet Length,Service,Source IP,Destination IP,Source Port,Destination Port,Protocol,TCP Flags,Checksum,TCP Window Size,ICMP Type
IPv6,577,UDP,2001:bb6:48d0:da00:8018:eff9:716a:853e,2a00:1450:400b:c03::5b,52089,443,QUIC,0,0x4219,0,0
IPv6,466,UDP,2001:bb6:48d0:da00:8018:eff9:716a:853e,2a00:1450:400b:c03::5b,52089,443,QUIC,0,0x41aa,0,0
IPv6,464,UDP,2001:bb6:48d0:da00:8018:eff9:716a:853e,2a00:1450:400b:c03::5b,52089,443,QUIC,0,0x41a8,0,0
IPv4,146,UDP,192.168.1.254,192.168.1.5,53,38436,DNS,0,0xfa27,0,0
IPv4,194,UDP,192.168.1.254,192.168.1.5,53,42060,DNS,0,0xf272,0,0
IPv4,142,UDP,192.168.1.254,192.168.1.5,53,56355,DNS,0,0xaa52,0,0
IPv6,1290,UDP,2a00:1450:400b:c03::5b,2001:bb6:48d0:da00:8018:eff9:716a:853e,443,52089,QUIC,0,0x1166,0,0
IPv6,1294,UDP,2a00:1450:400b:c03::5b,2001:bb6:48d0:da00:8018:eff9:716a:853e,443,52089,QUIC,0,0x2ad7,0,0
IPv6,1294,UDP,2a00:1450:400b:c03::5b,2001:bb6:48d0:da00:8018:eff9:716a:853e,443,52089,QUIC,0,0x328f,0,0
IPv6,1294,UDP,2a00:1450:400b:c03::5b,2001:bb6:48d0:da00:8018:eff9:716a:853e,443,52089,QUIC,0,0x1f73,0,0
IPv6,1294,UDP,2a00:1450:400b:c03::5b,2001:bb6:48d0:da00:8018:eff9:716a:853e,443,52089,QUIC,0,0x834b,0,0
IPv6,1294,UDP,2a00:1450:400b:c03::5b,2001:bb6:48d0:da00:8018:eff9:716a:853e,443,52089,QUIC,0,0x16d7,0,0
IPv6,1294,UDP,2a00:1450:400b:c03::5b,2001:bb6:48d0:da00:8018:eff9:716a:853e,443,52089,QUIC,0,0xe4ae,0,0
IPv6,1294,UDP,2a00:1450:400b:c03::5b,2001:bb6:48d0:da00:8018:eff9:716a:853e,443,52089,QUIC,0,0xb2db,0,0
IPv6,1294,UDP,2a00:1450:400b:c03::5b,2001:bb6:48d0:da00:8018:eff9:716a:853e,443,52089,QUIC,0,0xf2f8,0,0
IPv6,1294,UDP,2a00:1450:400b:c03::5b,2001:bb6:48d0:da00:8018:eff9:716a:853e,443,52089,QUIC,0,0xa812,0,0
IPv6,1294,UDP,2a00:1450:400b:c03::5b,2001:bb6:48d0:da00:8018:eff9:716a:853e,443,52089,QUIC,0,0xd9f4,0,0
IPv6,1294,UDP,2a00:1450:400b:c03::5b,2001:bb6:48d0:da00:8018:eff9:716a:853e,443,52089,QUIC,0,0x4a36,0,0
IPv6,1294,UDP,2a00:1450:400b:c03::5b,2001:bb6:48d0:da00:8018:eff9:716a:853e,443,52089,QUIC,0,0x7157,0,0
IPv6,1294,UDP,2a00:1450:400b:c03::5b,2001:bb6:48d0:da00:8018:eff9:716a:853e,443,52089,QUIC,0,0x6fb6,0,0
IPv6,1294,UDP,2a00:1450:400b:c03::5b,2001:bb6:48d0:da00:8018:eff9:716a:853e,443,52089,QUIC,0,0xcccf,0,0
IPv6,1294,UDP,2a00:1450:400b:c03::5b,2001:bb6:48d0:da00:8018:eff9:716a:853e,443,52089,QUIC,0,0xb5bb,0,0
IPv6,1294,UDP,2a00:1450:400b:c03::5b,2001:bb6:48d0:da00:8018:eff9:716a:853e,443,52089,QUIC,0,0x49d3,0,0
IPv6,1294,UDP,2a00:1450:400b:c03::5b,2001:bb6:48d0:da00:8018:eff9:716a:853e,443,52089,QUIC,0,0xea3b,0,0
IPv6,1294,UDP,2a00:1450:400b:c03::5b,2001:bb6:48d0:da00:8018:eff9:716a:853e,443,52089,QUIC,0,0xa367,0,0
IPv6,1294,UDP,2a00:1450:400b:c03::5b,2001:bb6:48d0:da00:8018:eff9:716a:853e,443,52089,QUIC,0,0x5d1c,0,0
IPv6,1294,UDP,2a00:1450:400b:c03::5b,2001:bb6:48d0:da00:8018:eff9:716a:853e,443,52089,QUIC,0,0x316f,0,0
IPv6,1294,UDP,2a00:1450:400b:c03::5b,2001:bb6:48d0:da00:8018:eff9:716a:853e,443,52089,QUIC,0,0xc7a9,0,0
IPv6,1294,UDP,2a00:1450:400b:c03::5b,2001:bb6:48d0:da00:8018:eff9:716a:853e,443,52089,QUIC,0,0x3f69,0,0
IPv6,1294,UDP,2a00:1450:400b:c03::5b,2001:bb6:48d0:da00:8018:eff9:716a:853e,443,52089,QUIC,0,0xfa86,0,0
IPv6,1294,UDP,2a00:1450:400b:c03::5b,2001:bb6:48d0:da00:8018:eff9:716a:853e,443,52089,QUIC,0,0xd8ba,0,0
IPv6,1294,UDP,2a00:1450:400b:c03::5b,2001:bb6:48d0:da00:8018:eff9:716a:853e,443,52089,QUIC,0,0x6ed9,0,0
IPv6,1294,UDP,2a00:1450:400b:c03::5b,2001:bb6:48d0:da00:8018:eff9:716a:853e,443,52089,QUIC,0,0x313c,0,0
IPv6,1294,UDP,2a00:1450:400b:c03::5b,2001:bb6:48d0:da00:8018:eff9:716a:853e,443,52089,QUIC,0,0xbee8,0,0
IPv6,1294,UDP,2a00:1450:400b:c03::5b,2001:bb6:48d0:da00:8018:eff9:716a:853e,443,52089,QUIC,0,0xa14e,0,0
IPv6,1294,UDP,2a00:1450:400b:c03::5b,2001:bb6:48d0:da00:8018:eff9:716a:853e,443,52089,QUIC,0,0xafeb,0,0
IPv6,1294,UDP,2a00:1450:400b:c03::5b,2001:bb6:48d0:da00:8018:eff9:716a:853e,443,52089,QUIC,0,0x3551,0,0
IPv6,1294,UDP,2a00:1450:400b:c03::5b,2001:bb6:48d0:da00:8018:eff9:716a:853e,443,52089,QUIC,0,0x7364,0,0
IPv6,1294,UDP,2a00:1450:400b:c03::5b,2001:bb6:48d0:da00:8018:eff9:716a:853e,443,52089,QUIC,0,0x58f5,0,0
IPv6,1294,UDP,2a00:1450:400b:c03::5b,2001:bb6:48d0:da00:8018:eff9:716a:853e,443,52089,QUIC,0,0xcdd6,0,0
