Ethernet Type,Packet Length,Service,Source IP,Destination IP,Source Port,Destination Port,Protocol,TCP Flags,Checksum,TCP Window Size,ICMP Type,class
IPv6,86,TCP,2001:bb6:48d0:da00:8018:eff9:716a:853e,2620:1ec:bdf::52,59704,443,TCP,0x0010,0xe9a6,137728,0,normal
IPv4,60,TCP,192.168.1.4,192.168.1.5,2141,185,TCP,0x0002,0x9b6e,512,0,anomaly
IPv4,54,TCP,192.168.1.5,192.168.1.4,185,2141,TCP,0x0014,0xe100,0,0,anomaly
IPv4,60,TCP,192.168.1.4,192.168.1.5,2142,186,TCP,0x0002,0x89fc,512,0,anomaly
IPv4,54,TCP,192.168.1.5,192.168.1.4,186,2142,TCP,0x0014,0xcd7b,0,0,anomaly
IPv4,60,TCP,192.168.1.4,192.168.1.5,2143,187,TCP,0x0002,0x5e07,512,0,anomaly
IPv4,54,TCP,192.168.1.5,192.168.1.4,187,2143,TCP,0x0014,0x2993,0,0,anomaly
IPv4,60,TCP,192.168.1.4,192.168.1.5,2144,188,TCP,0x0002,0xfe45,512,0,anomaly
IPv4,54,TCP,192.168.1.5,192.168.1.4,188,2144,TCP,0x0014,0x3813,0,0,anomaly
IPv4,60,TCP,192.168.1.4,192.168.1.5,2145,189,TCP,0x0002,0x052b,512,0,anomaly
IPv4,54,TCP,192.168.1.5,192.168.1.4,189,2145,TCP,0x0014,0x2f60,0,0,anomaly
IPv4,60,TCP,192.168.1.4,192.168.1.5,2146,190,TCP,0x0002,0x93af,512,0,anomaly
IPv4,54,TCP,192.168.1.5,192.168.1.4,190,2146,TCP,0x0014,0x31e7,0,0,anomaly
IPv4,60,TCP,192.168.1.4,192.168.1.5,2147,191,TCP,0x0002,0x2414,512,0,anomaly
IPv4,54,TCP,192.168.1.5,192.168.1.4,191,2147,TCP,0x0014,0xfc7e,0,0,anomaly
IPv4,60,TCP,192.168.1.4,192.168.1.5,2148,192,TCP,0x0002,0xb707,512,0,anomaly
IPv4,54,TCP,192.168.1.5,192.168.1.4,192,2148,TCP,0x0014,0xb3b2,0,0,anomaly
IPv4,60,TCP,192.168.1.4,192.168.1.5,2149,193,TCP,0x0002,0x0a34,512,0,anomaly
IPv4,54,TCP,192.168.1.5,192.168.1.4,193,2149,TCP,0x0014,0x5c23,0,0,anomaly
IPv4,60,TCP,192.168.1.4,192.168.1.5,2150,194,TCP,0x0002,0x806e,512,0,anomaly
IPv4,54,TCP,192.168.1.5,192.168.1.4,194,2150,TCP,0x0014,0xe7fc,0,0,anomaly
IPv4,60,TCP,192.168.1.4,192.168.1.5,2151,195,TCP,0x0002,0x7cf5,512,0,anomaly
IPv4,54,TCP,192.168.1.5,192.168.1.4,195,2151,TCP,0x0014,0x26e4,0,0,anomaly
IPv4,60,TCP,192.168.1.4,192.168.1.5,2152,196,TCP,0x0002,0x154e,512,0,anomaly
IPv4,54,TCP,192.168.1.5,192.168.1.4,196,2152,TCP,0x0014,0x951e,0,0,anomaly
IPv4,60,TCP,192.168.1.4,192.168.1.5,2153,197,TCP,0x0002,0x37c8,512,0,anomaly
IPv4,54,TCP,192.168.1.5,192.168.1.4,197,2153,TCP,0x0014,0xb161,0,0,anomaly
IPv4,60,TCP,192.168.1.4,192.168.1.5,2154,198,TCP,0x0002,0x320e,512,0,anomaly
IPv4,54,TCP,192.168.1.5,192.168.1.4,198,2154,TCP,0x0014,0x96ee,0,0,anomaly
IPv4,60,TCP,192.168.1.4,192.168.1.5,2155,199,TCP,0x0002,0xb504,512,0,anomaly
IPv4,54,TCP,192.168.1.5,192.168.1.4,199,2155,TCP,0x0014,0x8ddd,0,0,anomaly
IPv4,60,TCP,192.168.1.4,192.168.1.5,2156,200,TCP,0x0002,0xe5b0,512,0,anomaly
IPv4,54,TCP,192.168.1.5,192.168.1.4,200,2156,TCP,0x0014,0x2ff8,0,0,anomaly
IPv4,60,TCP,192.168.1.4,192.168.1.5,2157,201,TCP,0x0002,0x2868,512,0,anomaly
IPv4,54,TCP,192.168.1.5,192.168.1.4,201,2157,TCP,0x0014,0x9984,0,0,anomaly
IPv4,60,TCP,192.168.1.4,192.168.1.5,2158,202,TCP,0x0002,0xe9f2,512,0,anomaly
IPv4,54,TCP,192.168.1.5,192.168.1.4,202,2158,TCP,0x0014,0xcaae,0,0,anomaly
IPv4,60,TCP,192.168.1.4,192.168.1.5,2159,203,TCP,0x0002,0x7792,512,0,anomaly
IPv4,54,TCP,192.168.1.5,192.168.1.4,203,2159,TCP,0x0014,0x9f7b,0,0,anomaly
IPv4,60,TCP,192.168.1.4,192.168.1.5,2160,204,TCP,0x0002,0x5c17,512,0,anomaly
IPv4,54,TCP,192.168.1.5,192.168.1.4,204,2160,TCP,0x0014,0xbf51,0,0,anomaly
IPv4,60,TCP,192.168.1.4,192.168.1.5,2161,205,TCP,0x0002,0xf82c,512,0,anomaly
IPv4,54,TCP,192.168.1.5,192.168.1.4,205,2161,TCP,0x0014,0x57cf,0,0,anomaly
IPv4,60,TCP,192.168.1.4,192.168.1.5,2162,206,TCP,0x0002,0x3edb,512,0,anomaly
IPv4,54,TCP,192.168.1.5,192.168.1.4,206,2162,TCP,0x0014,0xaca8,0,0,anomaly
IPv4,60,TCP,192.168.1.4,192.168.1.5,2163,207,TCP,0x0002,0x603b,512,0,anomaly
IPv4,54,TCP,192.168.1.5,192.168.1.4,207,2163,TCP,0x0014,0xbfef,0,0,anomaly
IPv4,60,TCP,192.168.1.4,192.168.1.5,2164,208,TCP,0x0002,0x9d8c,512,0,anomaly
IPv4,54,TCP,192.168.1.5,192.168.1.4,208,2164,TCP,0x0014,0x8998,0,0,anomaly
IPv4,60,TCP,192.168.1.4,192.168.1.5,2165,209,TCP,0x0002,0x99ee,512,0,anomaly
IPv4,54,TCP,192.168.1.5,192.168.1.4,209,2165,TCP,0x0014,0x9b60,0,0,anomaly
IPv4,60,TCP,192.168.1.4,192.168.1.5,2166,210,TCP,0x0002,0x1025,512,0,anomaly
IPv4,54,TCP,192.168.1.5,192.168.1.4,210,2166,TCP,0x0014,0x84e1,0,0,anomaly
IPv4,60,TCP,192.168.1.4,192.168.1.5,2167,211,TCP,0x0002,0xd39e,512,0,anomaly
IPv4,54,TCP,192.168.1.5,192.168.1.4,211,2167,TCP,0x0014,0xd216,0,0,anomaly
IPv4,60,TCP,192.168.1.4,192.168.1.5,2168,212,TCP,0x0002,0xf1c6,512,0,anomaly
IPv4,54,TCP,192.168.1.5,192.168.1.4,212,2168,TCP,0x0014,0xc8cd,0,0,anomaly
IPv4,60,TCP,192.168.1.4,192.168.1.5,2169,213,TCP,0x0002,0x69ff,512,0,anomaly
IPv4,54,TCP,192.168.1.5,192.168.1.4,213,2169,TCP,0x0014,0xc4c7,0,0,anomaly
IPv4,60,TCP,192.168.1.4,192.168.1.5,2170,214,TCP,0x0002,0x320e,512,0,anomaly
IPv4,54,TCP,192.168.1.5,192.168.1.4,214,2170,TCP,0x0014,0xf0be,0,0,anomaly
IPv4,60,TCP,192.168.1.4,192.168.1.5,2171,215,TCP,0x0002,0x2cfb,512,0,anomaly
IPv4,54,TCP,192.168.1.5,192.168.1.4,215,2171,TCP,0x0014,0x3714,0,0,anomaly
IPv4,60,TCP,192.168.1.4,192.168.1.5,2172,216,TCP,0x0002,0xd4c1,512,0,anomaly
IPv4,54,TCP,192.168.1.5,192.168.1.4,216,2172,TCP,0x0014,0x5568,0,0,anomaly
IPv4,60,TCP,192.168.1.4,192.168.1.5,2173,217,TCP,0x0002,0x91ee,512,0,anomaly
IPv4,54,TCP,192.168.1.5,192.168.1.4,217,2173,TCP,0x0014,0xf5d8,0,0,anomaly
IPv4,60,TCP,192.168.1.4,192.168.1.5,2174,218,TCP,0x0002,0xa118,512,0,anomaly
IPv4,54,TCP,192.168.1.5,192.168.1.4,218,2174,TCP,0x0014,0x9e9c,0,0,anomaly
IPv4,60,TCP,192.168.1.4,192.168.1.5,2175,219,TCP,0x0002,0xdf18,512,0,anomaly
IPv4,54,TCP,192.168.1.5,192.168.1.4,219,2175,TCP,0x0014,0xe46b,0,0,anomaly
IPv4,60,TCP,192.168.1.4,192.168.1.5,2176,220,TCP,0x0002,0x2fb1,512,0,anomaly
IPv4,54,TCP,192.168.1.5,192.168.1.4,220,2176,TCP,0x0014,0xd350,0,0,anomaly
IPv4,60,TCP,192.168.1.4,192.168.1.5,2177,221,TCP,0x0002,0x0525,512,0,anomaly
IPv4,54,TCP,192.168.1.5,192.168.1.4,221,2177,TCP,0x0014,0x79da,0,0,anomaly
IPv4,60,TCP,192.168.1.4,192.168.1.5,2178,222,TCP,0x0002,0x6222,512,0,anomaly
IPv4,54,TCP,192.168.1.5,192.168.1.4,222,2178,TCP,0x0014,0xb133,0,0,anomaly
IPv4,60,TCP,192.168.1.4,192.168.1.5,2179,223,TCP,0x0002,0x5c4c,512,0,anomaly
IPv4,54,TCP,192.168.1.5,192.168.1.4,223,2179,TCP,0x0014,0x09be,0,0,anomaly
IPv4,60,TCP,192.168.1.4,192.168.1.5,2180,224,TCP,0x0002,0x5c74,512,0,anomaly
IPv4,54,TCP,192.168.1.5,192.168.1.4,224,2180,TCP,0x0014,0xbc4c,0,0,anomaly
IPv4,60,TCP,192.168.1.4,192.168.1.5,2181,225,TCP,0x0002,0xc1a5,512,0,anomaly
IPv4,54,TCP,192.168.1.5,192.168.1.4,225,2181,TCP,0x0014,0x0d8e,0,0,anomaly
IPv4,60,TCP,192.168.1.4,192.168.1.5,2182,226,TCP,0x0002,0x6778,512,0,anomaly
IPv4,54,TCP,192.168.1.5,192.168.1.4,226,2182,TCP,0x0014,0x011a,0,0,anomaly
IPv4,60,TCP,192.168.1.4,192.168.1.5,2183,227,TCP,0x0002,0xc1dc,512,0,anomaly
IPv4,54,TCP,192.168.1.5,192.168.1.4,227,2183,TCP,0x0014,0x08c6,0,0,anomaly
IPv4,60,TCP,192.168.1.4,192.168.1.5,2184,228,TCP,0x0002,0xe73e,512,0,anomaly
IPv4,54,TCP,192.168.1.5,192.168.1.4,228,2184,TCP,0x0014,0xb2a9,0,0,anomaly
IPv4,60,TCP,192.168.1.4,192.168.1.5,2185,229,TCP,0x0002,0x6855,512,0,anomaly
IPv4,54,TCP,192.168.1.5,192.168.1.4,229,2185,TCP,0x0014,0xf26f,0,0,anomaly
IPv4,60,TCP,192.168.1.4,192.168.1.5,2186,230,TCP,0x0002,0x58cb,512,0,anomaly
IPv4,54,TCP,192.168.1.5,192.168.1.4,230,2186,TCP,0x0014,0x32b0,0,0,anomaly
