Ethernet Type,Packet Length,Service,Source IP,Destination IP,Source Port,Destination Port,Protocol,TCP Flags,Checksum,TCP Window Size,ICMP Type
IPv6,182,UDP,2a00:1450:400b:c01::9d,2001:bb6:48d0:da00:7c5c:1087:a562:a487,443,61227,QUIC,0,0x4076,0,0
IPv6,94,UDP,2001:bb6:48d0:da00:7c5c:1087:a562:a487,2a00:1450:400b:c01::9d,61227,443,QUIC,0,0x4bea,0,0
IPv6,190,UDP,2a00:1450:400b:c03::9d,2001:bb6:48d0:da00:7c5c:1087:a562:a487,443,65397,UDP,0,0xf1ad,0,0
IPv6,182,UDP,2a00:1450:400b:c01::9d,2001:bb6:48d0:da00:7c5c:1087:a562:a487,443,61227,QUIC,0,0x221c,0,0
IPv6,95,UDP,2001:bb6:48d0:da00:7c5c:1087:a562:a487,2a00:1450:400b:c01::9d,61227,443,QUIC,0,0x9885,0,0
IPv6,99,UDP,2001:bb6:48d0:da00:7c5c:1087:a562:a487,2a00:1450:400b:c03::9d,65397,443,UDP,0,0xbe86,0,0
IPv6,183,UDP,2a00:1450:400b:c03::9d,2001:bb6:48d0:da00:7c5c:1087:a562:a487,443,65397,UDP,0,0x84fb,0,0
IPv6,96,UDP,2001:bb6:48d0:da00:7c5c:1087:a562:a487,2a00:1450:400b:c03::9d,65397,443,UDP,0,0x35b5,0,0
IPv6,87,UDP,2a00:1450:400b:c03::9d,2001:bb6:48d0:da00:7c5c:1087:a562:a487,443,65397,UDP,0,0xd8a0,0,0
IPv6,91,UDP,2001:bb6:48d0:da00:7c5c:1087:a562:a487,2a00:1450:400b:c01::9d,61227,443,QUIC,0,0x4791,0,0
IPv6,91,UDP,2001:bb6:48d0:da00:7c5c:1087:a562:a487,2a00:1450:400b:c01::9d,61227,443,QUIC,0,0xda05,0,0
IPv6,1288,UDP,2a00:1450:400b:c01::9d,2001:bb6:48d0:da00:7c5c:1087:a562:a487,443,61227,QUIC,0,0xffeb,0,0
IPv6,1292,UDP,2a00:1450:400b:c01::9d,2001:bb6:48d0:da00:7c5c:1087:a562:a487,443,61227,QUIC,0,0xbef0,0,0
IPv6,1292,UDP,2a00:1450:400b:c01::9d,2001:bb6:48d0:da00:7c5c:1087:a562:a487,443,61227,QUIC,0,0x249e,0,0
IPv6,1292,UDP,2a00:1450:400b:c01::9d,2001:bb6:48d0:da00:7c5c:1087:a562:a487,443,61227,QUIC,0,0xee64,0,0
IPv6,97,UDP,2001:bb6:48d0:da00:7c5c:1087:a562:a487,2a00:1450:400b:c01::9d,61227,443,QUIC,0,0xa44e,0,0
IPv6,93,UDP,2001:bb6:48d0:da00:7c5c:1087:a562:a487,2a00:1450:400b:c01::9d,61227,443,QUIC,0,0x6722,0,0
IPv6,1292,UDP,2a00:1450:400b:c01::9d,2001:bb6:48d0:da00:7c5c:1087:a562:a487,443,61227,QUIC,0,0x8c13,0,0
IPv6,1292,UDP,2a00:1450:400b:c01::9d,2001:bb6:48d0:da00:7c5c:1087:a562:a487,443,61227,QUIC,0,0x70c3,0,0
IPv6,1292,UDP,2a00:1450:400b:c01::9d,2001:bb6:48d0:da00:7c5c:1087:a562:a487,443,61227,QUIC,0,0xa90a,0,0
IPv6,1292,UDP,2a00:1450:400b:c01::9d,2001:bb6:48d0:da00:7c5c:1087:a562:a487,443,61227,QUIC,0,0xef5c,0,0
IPv6,93,UDP,2001:bb6:48d0:da00:7c5c:1087:a562:a487,2a00:1450:400b:c01::9d,61227,443,QUIC,0,0xc564,0,0
IPv6,93,UDP,2001:bb6:48d0:da00:7c5c:1087:a562:a487,2a00:1450:400b:c01::9d,61227,443,QUIC,0,0xcc53,0,0
