Ethernet Type,Packet Length,Service,Source IP,Destination IP,Source Port,Destination Port,Protocol,TCP Flags,Checksum,TCP Window Size,ICMP Type,Class
IPv6,90,UDP,2603:1026:c02:3000::2,2001:bb6:48d0:da00:75ee:8ba0:9eca:f5f0,443,64128,UDP,0,0x30af,0,0,Normal
IPv4,55,TCP,192.168.1.6,100.21.158.55,59556,443,TLS,0x0010,0x383e,250,0,Normal
IPv4,66,TCP,100.21.158.55,192.168.1.6,443,59556,TCP,0x0010,0x1c2c,198,0,Anomaly
IPv4,55,TCP,192.168.1.6,54.75.82.175,59602,443,TLS,0x0010,0x663c,255,0,Normal
IPv4,66,TCP,54.75.82.175,192.168.1.6,443,59602,TCP,0x0010,0x6552,769,0,Anomaly
IPv4,56,TCP,3.77.249.83,192.168.1.6,443,59560,TCP,0x0010,0xb499,17,0,Anomaly
IPv4,54,TCP,192.168.1.6,3.77.249.83,59560,443,TCP,0x0010,0xb3aa,255,0,Normal
IPv6,97,UDP,2001:bb6:48d0:da00:75ee:8ba0:9eca:f5f0,2603:1026:c02:3000::2,64128,443,UDP,0,0x9d94,0,0,Normal
IPv6,90,UDP,2603:1026:c02:3000::2,2001:bb6:48d0:da00:75ee:8ba0:9eca:f5f0,443,64128,UDP,0,0x61a3,0,0,Normal
IPv6,97,UDP,2001:bb6:48d0:da00:75ee:8ba0:9eca:f5f0,2603:1026:c02:3000::2,64128,443,UDP,0,0x5a29,0,0,Normal
IPv6,90,UDP,2603:1026:c02:3000::2,2001:bb6:48d0:da00:75ee:8ba0:9eca:f5f0,443,64128,UDP,0,0x65fd,0,0,Normal
IPv4,56,TCP,35.213.145.237,192.168.1.6,443,59777,TCP,0x0010,0x4d34,519,0,Anomaly
IPv4,54,TCP,192.168.1.6,35.213.145.237,59777,443,TCP,0x0010,0x4e3b,255,0,Normal
IPv6,147,TCP,2a00:1450:400b:c00::84,2001:bb6:48d0:da00:75ee:8ba0:9eca:f5f0,443,59585,TLS,0x0018,0xf289,1041,0,Normal
IPv6,74,TCP,2001:bb6:48d0:da00:75ee:8ba0:9eca:f5f0,2a00:1450:400b:c00::84,59585,443,TCP,0x0011,0x139c,254,0,Anomaly
IPv6,74,TCP,2a00:1450:400b:c00::84,2001:bb6:48d0:da00:75ee:8ba0:9eca:f5f0,443,59585,TCP,0x0011,0x1088,1041,0,Anomaly
IPv6,74,TCP,2001:bb6:48d0:da00:75ee:8ba0:9eca:f5f0,2a00:1450:400b:c00::84,59585,443,TCP,0x0010,0x139b,254,0,Anomaly
IPv6,147,TCP,2a00:1450:400b:c00::84,2001:bb6:48d0:da00:75ee:8ba0:9eca:f5f0,443,59591,TLS,0x0018,0x93f5,1043,0,Normal
IPv6,74,TCP,2001:bb6:48d0:da00:75ee:8ba0:9eca:f5f0,2a00:1450:400b:c00::84,59591,443,TCP,0x0011,0x6c5f,254,0,Anomaly
IPv6,74,TCP,2a00:1450:400b:c00::84,2001:bb6:48d0:da00:75ee:8ba0:9eca:f5f0,443,59591,TCP,0x0011,0x6949,1043,0,Anomaly
IPv6,74,TCP,2001:bb6:48d0:da00:75ee:8ba0:9eca:f5f0,2a00:1450:400b:c00::84,59591,443,TCP,0x0010,0x6c5e,254,0,Anomaly
IPv4,228,UDP,192.168.1.254,239.255.255.250,1900,1900,UDP,0,0x6a88,0,0,Normal
IPv4,246,UDP,192.168.1.254,224.0.0.251,5353,5353,UDP,0,0x0170,0,0,Normal
IPv4,457,UDP,192.168.1.254,239.255.255.250,1900,1900,UDP,0,0xd758,0,0,Normal
IPv6,97,UDP,2001:bb6:48d0:da00:75ee:8ba0:9eca:f5f0,2603:1026:c02:3000::2,64128,443,UDP,0,0x1d94,0,0,Normal
IPv6,90,UDP,2603:1026:c02:3000::2,2001:bb6:48d0:da00:75ee:8ba0:9eca:f5f0,443,64128,UDP,0,0x8634,0,0,Normal
IPv4,85,UDP,192.168.1.254,224.0.0.252,5355,5355,UDP,0,0xb652,0,0,Normal
IPv6,74,TCP,2a02:26f0:9d00::5f64:6241,2001:bb6:48d0:da00:75ee:8ba0:9eca:f5f0,443,59783,TCP,0x0011,0xf0bd,501,0,Anomaly
IPv6,98,TCP,2a02:26f0:9d00::5f64:6241,2001:bb6:48d0:da00:75ee:8ba0:9eca:f5f0,443,59783,TCP,0x0018,0x8c9c,501,0,Normal
IPv6,74,TCP,2a02:26f0:9d00::5f64:6241,2001:bb6:48d0:da00:75ee:8ba0:9eca:f5f0,443,59783,TCP,0x0011,0xf0bd,501,0,Anomaly
IPv6,74,TCP,2001:bb6:48d0:da00:75ee:8ba0:9eca:f5f0,2a02:26f0:9d00::5f64:6241,59783,443,TCP,0x0010,0xf0cc,511,0,Anomaly
IPv6,74,TCP,2001:bb6:48d0:da00:75ee:8ba0:9eca:f5f0,2a02:26f0:9d00::5f64:6241,59783,443,TCP,0x0010,0xf0b3,511,0,Anomaly
IPv6,74,TCP,2001:bb6:48d0:da00:75ee:8ba0:9eca:f5f0,2a02:26f0:9d00::5f64:6241,59783,443,TCP,0x0011,0xf0b2,511,0,Anomaly
IPv6,74,TCP,2a02:26f0:9d00::5f64:6241,2001:bb6:48d0:da00:75ee:8ba0:9eca:f5f0,443,59783,TCP,0x0010,0xf0bc,501,0,Anomaly
IPv6,116,TCP,2001:bb6:48d0:da00:75ee:8ba0:9eca:f5f0,2603:1020:5:9::401,59398,443,TLS,0x0018,0xa71a,255,0,Normal
IPv6,247,TCP,2603:1020:5:9::401,2001:bb6:48d0:da00:75ee:8ba0:9eca:f5f0,443,59398,TLS,0x0018,0x8fb7,7940,0,Normal
IPv6,74,TCP,2001:bb6:48d0:da00:75ee:8ba0:9eca:f5f0,2603:1020:5:9::401,59398,443,TCP,0x0010,0x90af,255,0,Anomaly
IPv4,100,UDP,192.168.1.10,224.0.0.251,5353,5353,UDP,0,0x0560,0,0,Normal
IPv6,120,UDP,fe80::14ed:6064:1e78:2447,ff02::fb,5353,5353,UDP,0,0xf17e,0,0,Normal
IPv6,97,UDP,2001:bb6:48d0:da00:75ee:8ba0:9eca:f5f0,2603:1026:c02:3000::2,64128,443,UDP,0,0xd13f,0,0,Normal
